,,Manchester United,,Leicester City,2:1 (1:0) 
,,Newcastle United,,Tottenham Hotspur,1:2 (1:2) 
,,AFC Bournemouth,,Cardiff City,2:0 (1:0) 
,,Fulham FC,,Crystal Palace,0:2 (0:1) 
,,Huddersfield Town,,Chelsea FC,0:3 (0:2) 
,,Watford FC,,Brighton & Hove Albion,2:0 (1:0) 
,,Wolverhampton Wanderers,,Everton FC,2:2 (1:1) 
,,Southampton FC,,Burnley FC,0:0 (0:0) 
,,Liverpool FC,,West Ham United,4:0 (2:0) 
,,Arsenal FC,,Manchester City,0:2 (0:1) 
,,,,,
,,Cardiff City,,Newcastle United,0:0 (0:0) 
,,Everton FC,,Southampton FC,2:1 (2:0) 
,,Leicester City,,Wolverhampton Wanderers,2:0 (2:0) 
,,Tottenham Hotspur,,Fulham FC,3:1 (1:0) 
,,West Ham United,,AFC Bournemouth,1:2 (1:0) 
,,Chelsea FC,,Arsenal FC,3:2 (2:2) 
,,Burnley FC,,Watford FC,1:3 (1:1) 
,,Manchester City,,Huddersfield Town,6:1 (3:1) 
,,Brighton & Hove Albion,,Manchester United,3:2 (3:1) 
,,Crystal Palace,,Liverpool FC,0:2 (0:1) 
,,,,,
,,Wolverhampton Wanderers,,Manchester City,1:1 (0:0) 
,,Arsenal FC,,West Ham United,3:1 (1:1) 
,,AFC Bournemouth,,Everton FC,2:2 (0:0) 
,,Huddersfield Town,,Cardiff City,0:0 (0:0) 
,,Southampton FC,,Leicester City,1:2 (0:0) 
,,Liverpool FC,,Brighton & Hove Albion,1:0 (1:0) 
,,Watford FC,,Crystal Palace,2:1 (0:0) 
,,Fulham FC,,Burnley FC,4:2 (3:2) 
,,Newcastle United,,Chelsea FC,1:2 (0:0) 
,,Manchester United,,Tottenham Hotspur,0:3 (0:0) 
,,,,,
,,Leicester City,,Liverpool FC,1:2 (0:2) 
,,Brighton & Hove Albion,,Fulham FC,2:2 (0:1) 
,,Chelsea FC,,AFC Bournemouth,2:0 (0:0) 
,,Crystal Palace,,Southampton FC,0:2 (0:0) 
,,Everton FC,,Huddersfield Town,1:1 (1:1) 
,,West Ham United,,Wolverhampton Wanderers,0:1 (0:0) 
,,Manchester City,,Newcastle United,2:1 (1:1) 
,,Cardiff City,,Arsenal FC,2:3 (1:1) 
,,Burnley FC,,Manchester United,0:2 (0:2) 
,,Watford FC,,Tottenham Hotspur,2:1 (0:0) 
,,,,,
,,Tottenham Hotspur,,Liverpool FC,1:2 (0:1) 
,,AFC Bournemouth,,Leicester City,4:2 (3:0) 
,,Chelsea FC,,Cardiff City,4:1 (2:1) 
,,Huddersfield Town,,Crystal Palace,0:1 (0:1) 
,,Manchester City,,Fulham FC,3:0 (2:0) 
,,Newcastle United,,Arsenal FC,1:2 (0:0) 
,,Watford FC,,Manchester United,1:2 (0:2) 
,,Wolverhampton Wanderers,,Burnley FC,1:0 (0:0) 
,,Everton FC,,West Ham United,1:3 (1:2) 
,,Southampton FC,,Brighton & Hove Albion,2:2 (1:0) 
,,,,,
,,Fulham FC,,Watford FC,1:1 (0:1) 
,,Burnley FC,,AFC Bournemouth,4:0 (2:0) 
,,Cardiff City,,Manchester City,0:5 (0:3) 
,,Crystal Palace,,Newcastle United,0:0 (0:0) 
,,Leicester City,,Huddersfield Town,3:1 (1:1) 
,,Manchester United,,Wolverhampton Wanderers,1:1 (1:0) 
,,Liverpool FC,,Southampton FC,3:0 (3:0) 
,,Brighton & Hove Albion,,Tottenham Hotspur,1:2 (0:1) 
,,West Ham United,,Chelsea FC,0:0 (0:0) 
,,Arsenal FC,,Everton FC,2:0 (0:0) 
,,,,,
,,West Ham United,,Manchester United,3:1 (2:0) 
,,Arsenal FC,,Watford FC,2:0 (0:0) 
,,Everton FC,,Fulham FC,3:0 (0:0) 
,,Huddersfield Town,,Tottenham Hotspur,0:2 (0:2) 
,,Manchester City,,Brighton & Hove Albion,2:0 (1:0) 
,,Newcastle United,,Leicester City,0:2 (0:1) 
,,Wolverhampton Wanderers,,Southampton FC,2:0 (0:0) 
,,Chelsea FC,,Liverpool FC,1:1 (1:0) 
,,Cardiff City,,Burnley FC,1:2 (0:0) 
,,AFC Bournemouth,,Crystal Palace,2:1 (1:0) 
,,,,,
,,Brighton & Hove Albion,,West Ham United,1:0 (1:0) 
,,Burnley FC,,Huddersfield Town,1:1 (1:0) 
,,Crystal Palace,,Wolverhampton Wanderers,0:1 (0:0) 
,,Leicester City,,Everton FC,1:2 (1:1) 
,,Tottenham Hotspur,,Cardiff City,1:0 (1:0) 
,,Watford FC,,AFC Bournemouth,0:4 (0:3) 
,,Manchester United,,Newcastle United,3:2 (0:2) 
,,Fulham FC,,Arsenal FC,1:5 (1:1) 
,,Southampton FC,,Chelsea FC,0:3 (0:1) 
,,Liverpool FC,,Manchester City,0:0 (0:0) 
,,,,,
,,Chelsea FC,,Manchester United,2:2 (1:0) 
,,AFC Bournemouth,,Southampton FC,0:0 (0:0) 
,,Cardiff City,,Fulham FC,4:2 (2:2) 
,,Manchester City,,Burnley FC,5:0 (1:0) 
,,Newcastle United,,Brighton & Hove Albion,0:1 (0:1) 
,,West Ham United,,Tottenham Hotspur,0:1 (0:1) 
,,Wolverhampton Wanderers,,Watford FC,0:2 (0:2) 
,,Huddersfield Town,,Liverpool FC,0:1 (0:1) 
,,Everton FC,,Crystal Palace,2:0 (0:0) 
,,Arsenal FC,,Leicester City,3:1 (1:1) 
,,,,,
,,Brighton & Hove Albion,,Wolverhampton Wanderers,1:0 (0:0) 
,,Fulham FC,,AFC Bournemouth,0:3 (0:1) 
,,Liverpool FC,,Cardiff City,4:1 (1:0) 
,,Southampton FC,,Newcastle United,0:0 (0:0) 
,,Watford FC,,Huddersfield Town,3:0 (2:0) 
,,Leicester City,,West Ham United,1:1 (0:1) 
,,Burnley FC,,Chelsea FC,0:4 (0:1) 
,,Crystal Palace,,Arsenal FC,2:2 (1:0) 
,,Manchester United,,Everton FC,2:1 (1:0) 
,,Tottenham Hotspur,,Manchester City,0:1 (0:1) 
,,,,,
,,AFC Bournemouth,,Manchester United,1:2 (1:1) 
,,Cardiff City,,Leicester City,0:1 (0:0) 
,,Everton FC,,Brighton & Hove Albion,3:1 (1:1) 
,,Newcastle United,,Watford FC,1:0 (0:0) 
,,West Ham United,,Burnley FC,4:2 (1:1) 
,,Arsenal FC,,Liverpool FC,1:1 (0:0) 
,,Wolverhampton Wanderers,,Tottenham Hotspur,2:3 (0:2) 
,,Manchester City,,Southampton FC,6:1 (4:1) 
,,Chelsea FC,,Crystal Palace,3:1 (1:0) 
,,Huddersfield Town,,Fulham FC,1:0 (1:0) 
,,,,,
,,Cardiff City,,Brighton & Hove Albion,2:1 (1:1) 
,,Huddersfield Town,,West Ham United,1:1 (1:0) 
,,Leicester City,,Burnley FC,0:0 (0:0) 
,,Newcastle United,,AFC Bournemouth,2:1 (2:1) 
,,Southampton FC,,Watford FC,1:1 (1:0) 
,,Crystal Palace,,Tottenham Hotspur,0:1 (0:0) 
,,Liverpool FC,,Fulham FC,2:0 (1:0) 
,,Chelsea FC,,Everton FC,0:0 (0:0) 
,,Arsenal FC,,Wolverhampton Wanderers,1:1 (0:1) 
,,Manchester City,,Manchester United,3:1 (1:0) 
,,,,,
,,Brighton & Hove Albion,,Leicester City,1:1 (1:0) 
,,Everton FC,,Cardiff City,1:0 (0:0) 
,,Fulham FC,,Southampton FC,3:2 (2:1) 
,,Manchester United,,Crystal Palace,0:0 (0:0) 
,,Watford FC,,Liverpool FC,0:3 (0:0) 
,,West Ham United,,Manchester City,0:4 (0:3) 
,,Tottenham Hotspur,,Chelsea FC,3:1 (2:0) 
,,AFC Bournemouth,,Arsenal FC,1:2 (1:1) 
,,Wolverhampton Wanderers,,Huddersfield Town,0:2 (0:1) 
,,Burnley FC,,Newcastle United,1:2 (1:2) 
,,,,,
,,Cardiff City,,Wolverhampton Wanderers,2:1 (0:1) 
,,Crystal Palace,,Burnley FC,2:0 (1:0) 
,,Huddersfield Town,,Brighton & Hove Albion,1:2 (1:1) 
,,Leicester City,,Watford FC,2:0 (2:0) 
,,Manchester City,,AFC Bournemouth,3:1 (1:1) 
,,Newcastle United,,West Ham United,0:3 (0:1) 
,,Southampton FC,,Manchester United,2:2 (2:2) 
,,Chelsea FC,,Fulham FC,2:0 (1:0) 
,,Arsenal FC,,Tottenham Hotspur,4:2 (1:2) 
,,Liverpool FC,,Everton FC,1:0 (0:0) 
,,,,,
,,AFC Bournemouth,,Huddersfield Town,2:1 (2:1) 
,,Brighton & Hove Albion,,Crystal Palace,3:1 (3:0) 
,,West Ham United,,Cardiff City,3:1 (0:0) 
,,Watford FC,,Manchester City,1:2 (0:1) 
,,Burnley FC,,Liverpool FC,1:3 (0:0) 
,,Fulham FC,,Leicester City,1:1 (1:0) 
,,Wolverhampton Wanderers,,Chelsea FC,2:1 (0:1) 
,,Everton FC,,Newcastle United,1:1 (1:1) 
,,Manchester United,,Arsenal FC,2:2 (1:1) 
,,Tottenham Hotspur,,Southampton FC,3:1 (1:0) 
,,,,,
,,AFC Bournemouth,,Liverpool FC,0:4 (0:1) 
,,Arsenal FC,,Huddersfield Town,1:0 (0:0) 
,,Burnley FC,,Brighton & Hove Albion,1:0 (1:0) 
,,Cardiff City,,Southampton FC,1:0 (0:0) 
,,Manchester United,,Fulham FC,4:1 (3:0) 
,,West Ham United,,Crystal Palace,3:2 (0:1) 
,,Chelsea FC,,Manchester City,2:0 (1:0) 
,,Leicester City,,Tottenham Hotspur,0:2 (0:1) 
,,Newcastle United,,Wolverhampton Wanderers,1:2 (1:1) 
,,Everton FC,,Watford FC,2:2 (1:0) 
,,,,,
,,Manchester City,,Everton FC,3:1 (1:0) 
,,Crystal Palace,,Leicester City,1:0 (1:0) 
,,Huddersfield Town,,Newcastle United,0:1 (0:0) 
,,Tottenham Hotspur,,Burnley FC,1:0 (0:0) 
,,Watford FC,,Cardiff City,3:2 (1:0) 
,,Wolverhampton Wanderers,,AFC Bournemouth,2:0 (1:0) 
,,Fulham FC,,West Ham United,0:2 (0:2) 
,,Brighton & Hove Albion,,Chelsea FC,1:2 (0:2) 
,,Southampton FC,,Arsenal FC,3:2 (2:1) 
,,Liverpool FC,,Manchester United,3:1 (1:1) 
,,,,,
,,Wolverhampton Wanderers,,Liverpool FC,0:2 (0:1) 
,,Arsenal FC,,Burnley FC,3:1 (1:0) 
,,AFC Bournemouth,,Brighton & Hove Albion,2:0 (1:0) 
,,Chelsea FC,,Leicester City,0:1 (0:0) 
,,Huddersfield Town,,Southampton FC,1:3 (0:2) 
,,Manchester City,,Crystal Palace,2:3 (1:2) 
,,Newcastle United,,Fulham FC,0:0 (0:0) 
,,West Ham United,,Watford FC,0:2 (0:1) 
,,Cardiff City,,Manchester United,1:5 (1:3) 
,,Everton FC,,Tottenham Hotspur,2:6 (1:3) 
,,,,,
,,Fulham FC,,Wolverhampton Wanderers,1:1 (0:0) 
,,Burnley FC,,Everton FC,1:5 (1:3) 
,,Crystal Palace,,Cardiff City,0:0 (0:0) 
,,Leicester City,,Manchester City,2:1 (1:1) 
,,Liverpool FC,,Newcastle United,4:0 (1:0) 
,,Manchester United,,Huddersfield Town,3:1 (1:0) 
,,Tottenham Hotspur,,AFC Bournemouth,5:0 (3:0) 
,,Brighton & Hove Albion,,Arsenal FC,1:1 (1:1) 
,,Watford FC,,Chelsea FC,1:2 (1:1) 
,,Southampton FC,,West Ham United,1:2 (0:0) 
,,,,,
,,Brighton & Hove Albion,,Everton FC,1:0 (0:0) 
,,Fulham FC,,Huddersfield Town,1:0 (0:0) 
,,Leicester City,,Cardiff City,0:1 (0:0) 
,,Tottenham Hotspur,,Wolverhampton Wanderers,1:3 (1:0) 
,,Watford FC,,Newcastle United,1:1 (0:1) 
,,Liverpool FC,,Arsenal FC,5:1 (4:1) 
,,Crystal Palace,,Chelsea FC,0:1 (0:0) 
,,Burnley FC,,West Ham United,2:0 (2:0) 
,,Southampton FC,,Manchester City,1:3 (1:3) 
,,Manchester United,,AFC Bournemouth,4:1 (3:1) 
,,,,,
,,Everton FC,,Leicester City,0:1 (0:0) 
,,Arsenal FC,,Fulham FC,4:1 (1:0) 
,,Cardiff City,,Tottenham Hotspur,0:3 (0:3) 
,,AFC Bournemouth,,Watford FC,3:3 (3:3) 
,,Chelsea FC,,Southampton FC,0:0 (0:0) 
,,Huddersfield Town,,Burnley FC,1:2 (1:1) 
,,West Ham United,,Brighton & Hove Albion,2:2 (0:0) 
,,Wolverhampton Wanderers,,Crystal Palace,0:2 (0:0) 
,,Newcastle United,,Manchester United,0:2 (0:0) 
,,Manchester City,,Liverpool FC,2:1 (1:0) 
,,,,,
,,West Ham United,,Arsenal FC,1:0 (0:0) 
,,Brighton & Hove Albion,,Liverpool FC,0:1 (0:0) 
,,Burnley FC,,Fulham FC,2:1 (2:1) 
,,Cardiff City,,Huddersfield Town,0:0 (0:0) 
,,Crystal Palace,,Watford FC,1:2 (1:0) 
,,Leicester City,,Southampton FC,1:2 (0:2) 
,,Chelsea FC,,Newcastle United,2:1 (1:1) 
,,Everton FC,,AFC Bournemouth,2:0 (0:0) 
,,Tottenham Hotspur,,Manchester United,0:1 (0:1) 
,,Manchester City,,Wolverhampton Wanderers,3:0 (2:0) 
,,,,,
,,Wolverhampton Wanderers,,Leicester City,4:3 (2:0) 
,,AFC Bournemouth,,West Ham United,2:0 (0:0) 
,,Liverpool FC,,Crystal Palace,4:3 (0:1) 
,,Manchester United,,Brighton & Hove Albion,2:1 (2:0) 
,,Newcastle United,,Cardiff City,3:0 (1:0) 
,,Southampton FC,,Everton FC,2:1 (0:0) 
,,Watford FC,,Burnley FC,0:0 (0:0) 
,,Arsenal FC,,Chelsea FC,2:0 (2:0) 
,,Huddersfield Town,,Manchester City,0:3 (0:1) 
,,Fulham FC,,Tottenham Hotspur,1:2 (1:0) 
,,,,,
,,Fulham FC,,Brighton & Hove Albion,4:2 (0:2) 
,,Arsenal FC,,Cardiff City,2:1 (0:0) 
,,Huddersfield Town,,Everton FC,0:1 (0:1) 
,,Wolverhampton Wanderers,,West Ham United,3:0 (0:0) 
,,Manchester United,,Burnley FC,2:2 (0:0) 
,,Newcastle United,,Manchester City,2:1 (0:1) 
,,AFC Bournemouth,,Chelsea FC,4:0 (0:0) 
,,Southampton FC,,Crystal Palace,1:1 (0:1) 
,,Liverpool FC,,Leicester City,1:1 (1:1) 
,,Tottenham Hotspur,,Watford FC,2:1 (0:1) 
,,,,,
,,Tottenham Hotspur,,Newcastle United,1:0 (0:0) 
,,Crystal Palace,,Fulham FC,2:0 (1:0) 
,,Burnley FC,,Southampton FC,1:1 (0:0) 
,,Chelsea FC,,Huddersfield Town,5:0 (2:0) 
,,Brighton & Hove Albion,,Watford FC,0:0 (0:0) 
,,Everton FC,,Wolverhampton Wanderers,1:3 (1:2) 
,,Cardiff City,,AFC Bournemouth,2:0 (1:0) 
,,Leicester City,,Manchester United,0:1 (0:1) 
,,Manchester City,,Arsenal FC,3:1 (2:1) 
,,West Ham United,,Liverpool FC,1:1 (1:1) 
,,,,,
,,Fulham FC,,Manchester United,0:3 (0:2) 
,,Huddersfield Town,,Arsenal FC,1:2 (0:2) 
,,Liverpool FC,,AFC Bournemouth,3:0 (2:0) 
,,Southampton FC,,Cardiff City,1:2 (0:0) 
,,Watford FC,,Everton FC,1:0 (0:0) 
,,Crystal Palace,,West Ham United,1:1 (0:1) 
,,Brighton & Hove Albion,,Burnley FC,1:3 (0:1) 
,,Tottenham Hotspur,,Leicester City,3:1 (1:0) 
,,Manchester City,,Chelsea FC,6:0 (4:0) 
,,Wolverhampton Wanderers,,Newcastle United,1:1 (0:0) 
,,,,,
,,Everton FC,,Manchester City,0:2 (0:1) 
,,West Ham United,,Fulham FC,3:1 (2:1) 
,,Cardiff City,,Watford FC,1:5 (0:1) 
,,Burnley FC,,Tottenham Hotspur,2:1 (0:0) 
,,Newcastle United,,Huddersfield Town,2:0 (0:0) 
,,AFC Bournemouth,,Wolverhampton Wanderers,1:1 (1:0) 
,,Leicester City,,Crystal Palace,1:4 (0:1) 
,,Manchester United,,Liverpool FC,0:0 (0:0) 
,,Arsenal FC,,Southampton FC,2:0 (2:0) 
,,Chelsea FC,,Brighton & Hove Albion,3:0 (1:0) 
,,,,,
,,Leicester City,,Brighton & Hove Albion,2:1 (1:0) 
,,Cardiff City,,Everton FC,0:3 (0:1) 
