	M	G	GA	PTS	xG	xGA	xPTS
	31	65	39	63	54.01-10.99	42.62+3.62	50.67-12.33
	32	43	58	38	45.25+2.25	51.90-6.10	41.41+3.41
	31	32	46	33	32.27+0.27	50.22+4.22	31.00-2.00
	32	37	59	33	37.43+0.43	55.77-3.23	35.76+2.76
	32	28	61	28	34.64+6.64	55.88-5.12	30.88+2.88
	32	55	34	63	53.70-1.30	32.80-1.20	59.76-3.24
	32	38	43	36	41.92+3.92	42.55-0.45	44.26+8.26
	32	45	42	43	43.38-1.62	45.52+3.52	42.25-0.75
	33	30	76	17	36.74+6.74	64.29-11.71	29.29+12.29
	32	18	59	14	23.55+5.55	53.29-5.71	25.78+11.78
	32	42	43	44	42.25+0.25	37.75-5.25	47.29+3.29
	33	75	20	82	68.98-6.02	24.79+4.79	72.99-9.01
	32	83	21	80	82.06-0.94	22.48+1.48	77.25-2.75
	32	61	43	61	60.24-0.76	44.74+1.74	53.34-7.66
	32	31	42	35	33.10+2.10	51.23+9.23	30.90-4.10
	32	36	53	33	38.33+2.33	50.68-2.32	35.69+2.69
	32	60	34	64	53.45-6.55	40.67+6.67	53.35-10.65
	32	47	47	46	44.01-2.99	49.21+2.21	41.97-4.03
	32	41	48	42	38.50-2.50	56.10+8.10	35.21-6.79
	32	40	39	47	43.41+3.41	34.72-4.28	49.84+2.84
